active,attributes,birthday,blood_type,enrollment,full_name,height,kana,nickname,note,prefecture,promotion,sister,team1,team2
1,"{'positive_description': ['の物まねが得意。', '好きな食べ物は、お好み焼き。'], 'negative_description': [], 'other_description': ['']}",20020317,O型,1期,石田千穂,157.0,いしだ ちほ,ちほ,,広島県,,,STU,
1,"{'positive_description': ['好きな食べ物は、いちご。'], 'negative_description': [], 'other_description': ['']}",19981011,O型,1期,石田みなみ,153.0,いしだ みなみ,みい,,兵庫県,,,STU,
1,"{'positive_description': ['好きな食べ物は、わかめ。'], 'negative_description': [], 'other_description': ['']}",20000601,A型,1期,磯貝花音,163.0,いそがい かのん,かのん,,愛知県,,,STU,
1,"{'positive_description': ['長所は、あまり深く落ち込まないこと。嫌なことがあっても、すぐ「ま、いっか」と切り替えられるところ。', '好きな食べ物は、イカ。えび。タコ、マグロ。', '好きな言葉は、「悔しかったら勝ってみろ」、「人生は一度きり」。', '特技は、足の指を開くこと・まつ毛につまようじを乗せる。「両目だと、今まで最高で合計14本のつまようじを乗せることがあります」。', '趣味は、動画鑑賞。映画鑑賞・美少女観察。「趣味は昔から美少女観察。かわいい子を見ると落ち着くというか、気持ちがほわ～っと癒やされるんです。アイドルを目指したきっかけにもなってるかも」。', '好きな色は、黒。'], 'negative_description': ['短所は、マイペース。車酔いすると自分の世界に入ってしまうところ。'], 'other_description': ['自分の性格は、「変人」。', 'チャームポイントは、「肉々しい顔」。「メンバーに""ムギュっ""とよくつままれるほっぺ」、「全開に広げられる足の指」。', '']}",20030821,A型,1期,市岡愛弓,158.0,いちおか あゆみ,あゆみん,['2019年8月11日活動終了予定'],福岡県,,,STU,
1,"{'positive_description': ['好きな食べ物は、はっさく大福。'], 'negative_description': [], 'other_description': ['']}",20000219,O型,1期,今村美月,158.0,いまむら みつき,みちゅ,,広島県,,,STU,
1,"{'positive_description': ['長所は、よく笑うこと、何事も全力で取り組むこと', 'フグの物まね、料理とお菓子作りが得意。', '得意な料理は、オムライス。「ご飯はケチャップライスで、玉子はとろとろの王道オムライスです」', '好きな食べ物は、いちご・タピオカ、スイーツ全般、ホルモン', '好きな言葉は、「努力すればアイドルは誰だって、未来のセンターになれるんだ」、「努力は必ず報われる」', '趣味は、料理・かわいいもの探し、AKB48のライブDVDを観ること。', '好きな色は、ピンク。「特にパステルピンクが好き」'], 'negative_description': ['短所は、泣き虫'], 'other_description': ['チャームポイントは、瞳。', '']}",20030221,A型,1期,岩田陽菜,149.0,いわた ひな,ひなちゃん,,山口県,,,STU,
1,"{'positive_description': ['好きな食べ物は、秋刀魚。'], 'negative_description': [], 'other_description': ['', '', '']}",20040214,A型,1期,大谷満理奈,156.0,おおたに まりな,"['マリーナ', '天来ちゃん']",,山口県,,,STU,
1,"{'positive_description': ['スポーツはやる派。「体育とか本当大好きです」「サッカーとか基本的になんでも好き」', '趣味はアニメ鑑賞。', '得意な科目は、音楽。', '好きな漫画は、「会長はメイド様!」。', '好きな香りは、フルーツ系の香り。', '好きな色は、パステルカラー。', '好きな洋服の柄は、無地か花柄とか。', '好きな歌手は、きゃりーぱみゅぱみゅ。', '好きな言葉は、「ねだるな勝ち取れ、さすればあたえられん」。'], 'negative_description': ['苦手な科目は、数学。', '料理は苦手。'], 'other_description': ['長所はいつでも全力、短所は泣き虫なところ。', '口癖は、「だからーとか、でもーとか接続詞が多い気がします」。', 'お気に入りのヘアスタイルは、とりあえずロング。「いままでの人生でショートにしたのは一回しかないですね」しかし、2016年春にショートヘアにイメージチェンジした。。', '将来の夢は、歌手。', '']}",19971107,A型,AKB48 14期,岡田奈々,155.0,おかだ なな,なぁちゃん,"['STU48キャプテン', 'AKB48チーム4兼任', 'AKS所属']",神奈川県,20170223,,STU,4
1,"{'positive_description': ['体力に自信があって、広島カープの選手の物まねが特技。', '好きな食べ物は、お好み焼き。'], 'negative_description': [], 'other_description': ['']}",20031128,B型,1期,甲斐心愛,149.0,かい ここあ,"['さんしろー', 'ここあ']",,広島県,,,STU,
1,"{'positive_description': ['好きな食べ物は、ハンバーグ。'], 'negative_description': [], 'other_description': ['']}",19990826,O型,1期,門田桃奈,161.0,かどた ももな,"['もも', 'ももな']",['2019年8月11日活動終了予定'],愛媛県,,,STU,
1,"{'positive_description': ['好きな食べ物は、淡路島の玉ねぎ。'], 'negative_description': [], 'other_description': ['アニメや声優にも詳しいとのこと。', '']}",20030311,O型,1期,門脇実優菜,152.0,かどわき みゆな,みゆみゆ,,兵庫県,,,STU,
1,"{'positive_description': ['好きな食べ物は、味噌汁・コーヒー・ゴーヤ・チーズ。', '趣味は、ミニチュアスイーツ・パン作り・美容や健康について調べること。', '特技は、学校の先生のものまね。'], 'negative_description': [], 'other_description': ['']}",20020428,O型,1期,榊美優,151.0,さかき みゆ,CUCA（くーか）,,香川県,,,STU,
1,"{'positive_description': ['好きな食べ物は、えんがわ。'], 'negative_description': [], 'other_description': ['']}",20040523,O型,1期,新谷野々花,146.0,しんたに ののか,のんちゃん,,広島県,,,STU,
1,"{'positive_description': ['特技は、中学生の頃から始めたサックスで、演奏会にも出演している。', '公式プロフィール内の「瀬戸内でオススメのもの」に「SLやまぐち」を挙げるなど、新幹線が大好きな鉄子キャラ。', '好きな食べ物は、マンゴー・尾道ラーメン。'], 'negative_description': [], 'other_description': ['小学生の頃からアイドルになりたかったという。', '広島の大学に通学している。', '']}",19970924,O型,1期,瀧野由美子,164.0,たきの ゆみこ,ゆみりん,,山口県,,,STU,
1,"{'positive_description': ['好きな食べ物は、ガリ（生姜）。'], 'negative_description': [], 'other_description': ['']}",19960616,A型,1期,田中皓子,159.0,たなか こうこ,"['こっこ', 'こーこ']",,佐賀県,,,STU,
1,"{'positive_description': ['好きな食べ物は、すだち。'], 'negative_description': [], 'other_description': ['']}",20000203,A型,1期,谷口茉妃菜,160.0,たにぐち まひな,まひな,,徳島県,,,STU,
1,"{'positive_description': ['ドラゴンボールが大好きで、の「JAWS」のお姉さんのものまねができる。', '好きな食べ物は、尾道ラーメン・アイス・お酢。', '好きな色は、ピンクと水色。白・黒。', '好きな動物は猫。「ぱーる」（スコティッシュフォールド）と「ジョーくん」（ミックス）という猫を飼っている。'], 'negative_description': [], 'other_description': ['', '中学では剣道、高校ではダンス部に所属。', 'AKB48では推し。握手会にも参加していた。', '', '']}",19990324,AB型,1期,土路生優里,158.0,とろぶ ゆり,とろちゃん,,広島県,,,STU,
1,"{'positive_description': ['好きな食べ物は、牡蠣・かぼちゃ。'], 'negative_description': [], 'other_description': ['吹奏楽部に所属している。', '犬とネコのものまねができる。', '']}",20010118,A型,1期,兵頭葵,159.0,ひょうどう あおい,あおい,,愛媛県,,,STU,
1,"{'positive_description': ['好きな食べ物は、讃岐うどん。和三盆。うどん・なんこつ。', '趣味は、読書・バレーボール・なわとび・テニス・お笑い・ライブ。水族館巡り・アイドル研究・お絵描き。ずーっと喋ること・ネコのまね・どうぶつの森の効果音のモノマネ。', '特技は、あるあるネタを考えること・南京玉すだれ。のどごしの音を出して飲み物を飲む・ウミガメの種類を見分ける。', '長所は、明るいところ。', '好きな言葉は、「大好き!」。', '好きな動物は、カメ、ネコ、イグアナ、カワウソ。'], 'negative_description': ['短所は、思い込みが激しいところ。'], 'other_description': ['自分の性格は、ポジティブ。', '座右の銘は、死ぬこと以外かすり傷。', 'チャームポイントは、左目の下と、顔の真ん中にあるホクロ。', '']}",19990329,O型,1期,福田朱里,164.0,ふくだ あかり,"['ふくちゃん', 'あかりん']",,香川県,,,STU,
1,"{'positive_description': ['好きな食べ物は、のタコ飯。'], 'negative_description': [], 'other_description': ['ウミガメの種類を見分けることができる', '']}",19980510,A型,1期,藤原あずさ,163.0,ふじわら あずさ,あーちゃん,,岡山県,,,STU,
1,"{'positive_description': ['好きな食べ物は、お寿司。'], 'negative_description': [], 'other_description': ['柔道初段、空手、レスリングを経験。', '']}",19980418,B型,1期,三島遥香,156.0,みしま はるか,ぱると,,徳島県,,,STU,
1,"{'positive_description': ['好きな食べ物は、イカ天（瀬戸内レモン味）。'], 'negative_description': [], 'other_description': ['', '']}",20040902,A型,1期,峯吉愛梨沙,147.0,みねよし ありさ,ありちゃん,,広島県,,,STU,
1,"{'positive_description': ['バドミントンと笑いが大好きで、バトミントンは全国大会出場経験あり。', '好きな食べ物は、もみじ饅頭。'], 'negative_description': [], 'other_description': ['']}",19970601,B型,1期,森香穂,151.0,もり かほ,かほたる,,三重県,,,STU,
1,"{'positive_description': ['好きな食べ物は、いちご。'], 'negative_description': [], 'other_description': ['']}",20041004,A型,1期,森下舞羽,153.0,もりした まいは,"['はっちゃん', 'まいはっち']",,山口県,,,STU,
1,"{'positive_description': ['好きな食べ物は、汁なし担々麺。他に、「はっさく」。', '趣味は、カラオケ・一人汁なし担担麺', '特技は、歌・お尻でくるみを割ること。', '長所は、声が大きい。', 'ものまね芸人が大好き。'], 'negative_description': ['短所は、思ったことをすぐに口に出してしまう。'], 'other_description': ['']}",19990806,B型,1期,矢野帆夏,158.0,やの ほのか,ほのたん,,広島県,,,STU,
1,"{'positive_description': ['長所は、頑固。あきらめないところ', '好きな食べ物は、アイス・ラーメン。はちみつ。たこわさ、バナナ。', '好きな言葉は、「親しき仲にも礼儀あり」。「初心を忘れず」。', '趣味は、ゲーム・散歩・日向ぼっこ。ドラムの動画を見ること。漫画を読むこと。', '特技は、バスケ・アイスを早く食べること。ボーっとすること・片目だけより目にすること。「小学3年から中学3年まで6年間バスケをしてました。ポジションはフォワード。シュートが打ちたくて、パスをもらったら自分でどんどん攻めてましたね」。', '好きな色は、紫。'], 'negative_description': ['短所は、人の話を途中で聞かなくなる。飽きっぽい。。'], 'other_description': ['自分の性格は、「負けず嫌いですけど、表に出さずに心の中で燃えるタイプ。口には出さないんですけど、一人でメラメラさせていて、今もそうだと思います。性格は基本ポジティブですけど、夜に急にすごくネガティブになったり」。', 'チャームポイントは、「笑顔」。「手のひらに対して指が長い」。', '', '']}",20001007,AB型,1期,薮下楓,154.0,やぶした ふう,ふう,"['2019年5月7日から活動休止中', '薮下柊', ' (元NMB48)']",大阪府,,薮下柊,STU,
1,"{'positive_description': ['長所は、聞き上手。', '趣味は、文章を書くこと。一人で無限に理由なきことを探求する。愛犬と遊ぶこと。読書。', '特技は、糸鋸盤。暗記。', '好きな食べ物は、チョコ・生クリーム・カレーの甘口。', '好きな言葉は、「夢をかなえても、何度も心の隅に夢を置く」。'], 'negative_description': ['短所は、弱いところを人前で見せられない。方向音痴、機械音痴。'], 'other_description': ['']}",19991201,A型,ドラフト 3期,沖侑果,157.0,おき ゆうか,沖ちゃん,['第3回ドラフト会議第2巡目指名'],岡山県,,,,研
1,"{'positive_description': ['趣味は、寝ること、妹と遊ぶこと。', '特技は、剣道。', '好きな食べ物は、梅のお菓子。'], 'negative_description': ['短所は、優柔不断。'], 'other_description': ['長所は、負けず嫌い。', '']}",20030809,A型,ドラフト 3期,信濃宙花,162.0,しなの そらは,そらは,['第3回ドラフト会議第5巡目指名'],兵庫県,,,,研
1,"{'positive_description': ['趣味は、クラシックバレエ、絵を描くこと。料理が得意。', '特技は、柔軟、巻き舌。', '好きな食べ物は、たらこ・明太子。'], 'negative_description': ['短所は、マイペースすぎるところ。'], 'other_description': ['長所は、粘り強いところ。温厚で、負けず嫌い。芯が強く、集中力もある。1つのことを集中してやり遂げ、褒められて伸びるタイプである。', '座右の銘は、「奇跡を待つより捨て身の努力よ！」。', 'SHOWROOMにてタコのギフティングを行うと、「タコポーズ」をやってくれる。', '']}",19990404,O型,ドラフト 3期,中村舞,163.0,なかむら まい,"['舞Q', 'クエスチョン']",['第3回ドラフト会議第1巡目指名'],愛媛県,,,,研
1,"{'positive_description': ['長所は、常に笑顔でいるところ、あざといところ。', '趣味は、コスメや洋服のネット通販を見るだけ見て買わないこと、YouTubeをみること。', '特技は、（広島風）お好み焼きを焼くこと。モノマネ、アイドル曲の歌とダンス。', '好きな食べ物は、お好み焼き、ネギトロ、干し梅、タピオカ。'], 'negative_description': ['短所は、寝坊すること、忘れ物をすること。'], 'other_description': ['']}",19990312,O型,ドラフト 3期,由良朱合,154.5,ゆら あかり,ゆらりん,"['2019年8月11日活動終了予定', '第3回ドラフト会議第3巡目指名']",広島県,,,,研
